survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,family_size,age_group,embarked_Q,embarked_S
0,3,0,-0.5398381008882531,1,0,7.25,Third,man,True,,Southampton,no,False,0.03162619319599083,Adult,False,True
1,1,1,0.821886733648099,1,0,71.2833,First,woman,False,C,Cherbourg,yes,False,0.03162619319599083,Adult,False,False
1,3,1,-0.19940689225416505,0,0,7.925,Third,woman,False,,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,1,1,0.5665633271725331,1,0,53.1,First,woman,False,C,Southampton,yes,False,0.03162619319599083,Adult,False,True
0,3,0,0.5665633271725331,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.02919128793712103,0,0,8.4583,Third,man,True,,Queenstown,no,True,-0.620224788788043,Adult,True,False
0,1,0,2.1836115681844515,0,0,51.8625,First,man,True,E,Southampton,no,True,-0.620224788788043,Middle-Aged,False,True
0,3,0,-2.2419941440586935,3,1,21.075,Third,child,False,,Southampton,no,False,1.9871791391480926,Child,False,True
1,3,1,-0.11429909009564304,0,2,11.1333,Third,woman,False,,Southampton,yes,False,0.6834771751800247,Adult,False,True
1,2,1,-1.2207005181564292,1,0,30.0708,Second,child,False,,Cherbourg,yes,False,0.03162619319599083,Teenager,False,False
1,3,1,-2.0717785397416493,1,1,16.7,Third,child,False,G,Southampton,yes,False,0.6834771751800247,Child,False,True
0,3,0,-0.7100537052052971,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,0.9069945358066211,1,5,31.275,Third,man,True,,Southampton,no,False,3.2908811031161602,Adult,False,True
0,3,1,-1.2207005181564292,0,0,7.8542,Third,child,False,,Southampton,no,True,-0.620224788788043,Teenager,False,True
1,2,1,2.268719370342973,0,0,16.0,Second,woman,False,,Southampton,yes,True,-0.620224788788043,Middle-Aged,False,True
0,3,0,-2.2419941440586935,4,1,29.125,Third,child,False,,Queenstown,no,False,2.6390301211321265,Child,True,False
1,2,0,-0.02919128793712103,0,0,13.0,Second,man,True,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,1,0.226132118538445,1,0,18.0,Third,woman,False,,Southampton,no,False,0.03162619319599083,Adult,False,True
1,3,1,-0.02919128793712103,0,0,7.225,Third,woman,False,,Cherbourg,yes,True,-0.620224788788043,Adult,False,False
0,2,0,0.5665633271725331,0,0,26.0,Second,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,2,0,0.48145552501401107,0,0,13.0,Second,man,True,D,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,3,1,-1.1355927159979071,0,0,8.0292,Third,child,False,,Queenstown,yes,True,-0.620224788788043,Teenager,True,False
1,1,0,-0.02919128793712103,0,0,35.5,First,man,True,A,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,1,-1.7313473311075613,3,1,21.075,Third,child,False,,Southampton,no,False,1.9871791391480926,Child,False,True
1,3,1,0.821886733648099,1,5,31.3875,Third,woman,False,,Southampton,yes,False,3.2908811031161602,Adult,False,True
0,3,0,-0.02919128793712103,0,0,7.225,Third,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
0,1,0,-0.7951615073638192,3,2,263.0,First,man,True,C,Southampton,no,False,2.6390301211321265,Adult,False,True
1,3,1,-0.02919128793712103,0,0,7.8792,Third,woman,False,,Queenstown,yes,True,-0.620224788788043,Adult,True,False
0,3,0,-0.02919128793712103,0,0,7.8958,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,1,0,0.9921023379651431,0,0,27.7208,First,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
1,1,1,-0.02919128793712103,1,0,146.5208,First,woman,False,B,Cherbourg,yes,False,0.03162619319599083,Adult,False,False
1,3,1,-0.02919128793712103,0,0,7.75,Third,woman,False,,Queenstown,yes,True,-0.620224788788043,Adult,True,False
0,1,0,-0.02919128793712103,1,0,82.1708,First,man,True,,Cherbourg,no,False,0.03162619319599083,Adult,False,False
0,1,0,1.1623179422821872,1,0,52.0,First,man,True,,Southampton,no,False,0.03162619319599083,Middle-Aged,False,True
1,3,0,-0.02919128793712103,0,0,7.2292,Third,man,True,,Cherbourg,yes,True,-0.620224788788043,Adult,False,False
0,3,0,-0.6249459030467751,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,1,-0.8802693095223412,2,0,18.0,Third,woman,False,,Southampton,no,False,0.6834771751800247,Teenager,False,True
1,3,1,-1.2207005181564292,1,0,11.2417,Third,child,False,,Cherbourg,yes,False,0.03162619319599083,Teenager,False,False
0,3,1,0.9921023379651431,1,0,9.475,Third,woman,False,,Southampton,no,False,0.03162619319599083,Adult,False,True
0,2,1,-0.11429909009564304,1,0,21.0,Second,woman,False,,Southampton,no,False,0.03162619319599083,Adult,False,True
0,3,0,-0.02919128793712103,0,0,7.8958,Third,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
1,2,1,-2.1568863419001714,1,2,41.5792,Second,child,False,,Cherbourg,yes,False,1.3353281571640587,Child,False,False
1,3,1,-0.7951615073638192,0,0,7.8792,Third,woman,False,,Queenstown,yes,True,-0.620224788788043,Adult,True,False
0,3,0,-0.02919128793712103,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.02919128793712103,1,0,15.5,Third,man,True,,Queenstown,no,False,0.03162619319599083,Adult,True,False
0,3,0,-0.02919128793712103,2,0,21.6792,Third,man,True,,Cherbourg,no,False,0.6834771751800247,Adult,False,False
0,3,1,-0.8802693095223412,1,0,17.8,Third,woman,False,,Southampton,no,False,0.03162619319599083,Teenager,False,True
0,3,0,-1.8164551332660832,4,1,39.6875,Third,child,False,,Southampton,no,False,2.6390301211321265,Child,False,True
0,3,0,-0.6249459030467751,0,0,7.8,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,1,1,1.7580725573918412,1,0,76.7292,First,woman,False,D,Cherbourg,yes,False,0.03162619319599083,Middle-Aged,False,False
1,2,1,0.05591651422140098,1,0,26.0,Second,woman,False,,Southampton,yes,False,0.03162619319599083,Adult,False,True
1,1,0,-0.02919128793712103,0,0,35.5,First,man,True,C,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,2,1,-0.6249459030467751,0,0,10.5,Second,woman,False,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,0,0.013362613142139977,0,0,7.2292,Third,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
1,2,1,-1.9866707375831274,1,2,27.75,Second,child,False,,Southampton,yes,False,1.3353281571640587,Child,False,True
0,3,0,-1.4760239246319953,5,2,46.9,Third,child,False,,Southampton,no,False,3.942732085100194,Child,False,True
0,3,0,-0.5398381008882531,0,0,7.2292,Third,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
1,1,1,0.821886733648099,0,0,80.0,First,woman,False,B,,yes,True,-0.620224788788043,Adult,False,True
0,1,0,1.4176413487577533,1,0,83.475,First,man,True,C,Southampton,no,False,0.03162619319599083,Middle-Aged,False,True
0,3,0,-2.0717785397416493,3,2,27.9,Third,child,False,,Southampton,no,False,2.6390301211321265,Child,False,True
0,1,0,-0.02919128793712103,0,0,27.7208,First,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
1,3,0,-0.02919128793712103,1,1,15.2458,Third,man,True,,Cherbourg,yes,False,0.6834771751800247,Adult,False,False
1,2,1,0.05591651422140098,0,0,10.5,Second,woman,False,F,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,0,-0.7951615073638192,0,0,8.1583,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,3,1,-0.9653771116808632,4,2,7.925,Third,woman,False,,Southampton,yes,False,3.2908811031161602,Teenager,False,True
0,3,0,-0.19940689225416505,2,0,8.6625,Third,man,True,,Southampton,no,False,0.6834771751800247,Adult,False,True
0,2,0,0.31123992069696704,0,0,10.5,Second,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,1,-1.0504849138393852,5,2,46.9,Third,woman,False,,Southampton,no,False,3.942732085100194,Teenager,False,True
0,2,0,-0.6249459030467751,0,0,73.5,Second,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.19940689225416505,1,0,14.4542,Third,man,True,,Cherbourg,no,False,0.03162619319599083,Adult,False,False
1,3,0,0.31123992069696704,0,0,56.4958,Third,man,True,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,0,-0.28451469441268706,0,0,7.65,Third,man,True,F,Southampton,no,True,-0.620224788788043,Adult,False,True
1,3,1,0.141024316379923,0,0,12.475,Third,woman,False,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,0,-0.5398381008882531,0,0,9.0,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,3,0,0.05591651422140098,0,0,9.5,Third,man,True,,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,3,1,-0.02919128793712103,0,0,7.7875,Third,woman,False,,Queenstown,yes,True,-0.620224788788043,Adult,True,False
0,1,0,-0.02919128793712103,0,0,47.1,First,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,2,1,-0.9653771116808632,0,0,10.5,Second,woman,False,,Southampton,yes,True,-0.620224788788043,Teenager,False,True
1,3,1,0.396347722855489,3,0,15.85,Third,woman,False,,Southampton,yes,False,1.3353281571640587,Adult,False,True
0,3,0,-1.0504849138393852,1,3,34.375,Third,man,True,,Southampton,no,False,1.9871791391480926,Teenager,False,True
1,1,1,-0.4547302987297311,3,2,263.0,First,woman,False,C,Southampton,yes,False,2.6390301211321265,Adult,False,True
0,3,0,-0.3696224965712091,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,0.05591651422140098,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.7100537052052971,0,0,7.8542,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,1,0,1.5027491509162751,1,0,61.175,First,man,True,E,Southampton,no,False,0.03162619319599083,Middle-Aged,False,True
0,3,0,-0.19940689225416505,1,2,20.575,Third,man,True,,Southampton,no,False,1.3353281571640587,Adult,False,True
1,1,0,-0.4547302987297311,0,1,63.3583,First,man,True,D,Cherbourg,yes,False,0.03162619319599083,Adult,False,False
1,2,1,0.48145552501401107,0,1,23.0,Second,woman,False,,Southampton,yes,False,0.03162619319599083,Adult,False,True
0,2,0,0.48145552501401107,1,0,26.0,Second,man,True,,Southampton,no,False,0.03162619319599083,Adult,False,True
0,3,1,-0.02919128793712103,0,0,7.8958,Third,woman,False,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,1,0,-0.6249459030467751,0,1,77.2875,First,man,True,D,Southampton,no,False,0.03162619319599083,Adult,False,True
0,3,0,0.396347722855489,0,0,8.6542,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,0.7367789314895771,2,0,7.925,Third,man,True,,Southampton,no,False,0.6834771751800247,Adult,False,True
1,3,1,-0.6249459030467751,0,0,7.65,Third,woman,False,,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,3,0,-0.02919128793712103,0,0,7.775,Third,man,True,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,0,0.821886733648099,0,0,7.8958,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,3,1,-0.02919128793712103,1,0,24.15,Third,woman,False,,Queenstown,yes,False,0.03162619319599083,Adult,True,False
0,1,0,1.5878569530747972,0,0,52.0,First,man,True,C,Southampton,no,True,-0.620224788788043,Middle-Aged,False,True
0,3,1,-1.1781466170771682,1,0,14.4542,Third,child,False,,Cherbourg,no,False,0.03162619319599083,Teenager,False,False
0,3,0,-0.5398381008882531,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,1,-0.7100537052052971,1,0,9.825,Third,woman,False,,Southampton,no,False,0.03162619319599083,Adult,False,True
0,3,1,-0.9653771116808632,0,0,14.4583,Third,woman,False,,Cherbourg,no,True,-0.620224788788043,Teenager,False,False
0,3,0,-0.6249459030467751,0,0,7.925,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,2,0,0.05591651422140098,1,0,21.0,Second,man,True,,Southampton,no,False,0.03162619319599083,Adult,False,True
0,1,0,-0.3696224965712091,0,1,247.5208,First,man,True,B,Cherbourg,no,False,0.03162619319599083,Adult,False,False
0,3,1,-2.2419941440586935,4,2,31.275,Third,child,False,,Southampton,no,False,3.2908811031161602,Child,False,True
0,2,0,-0.6249459030467751,2,0,73.5,Second,man,True,,Southampton,no,False,0.6834771751800247,Adult,False,True
0,2,0,0.35379382177622803,1,0,30.0708,Second,man,True,,Cherbourg,no,False,0.03162619319599083,Adult,False,False
1,2,1,0.35379382177622803,0,0,13.0,Second,woman,False,E,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,1,0,2.1836115681844515,0,1,77.2875,First,man,True,D,Southampton,no,False,0.03162619319599083,Middle-Aged,False,True
1,3,0,-1.3909161224734732,1,0,11.2417,Third,child,False,,Cherbourg,yes,False,0.03162619319599083,Child,False,False
0,3,0,-0.02919128793712103,0,0,7.75,Third,man,True,,Queenstown,no,True,-0.620224788788043,Adult,True,False
1,3,0,-0.3696224965712091,0,0,7.1417,Third,man,True,,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,3,1,-0.02919128793712103,1,1,22.3583,Third,woman,False,F,Cherbourg,yes,False,0.6834771751800247,Adult,False,False
0,3,0,1.4176413487577533,0,0,6.975,Third,man,True,,Southampton,no,True,-0.620224788788043,Middle-Aged,False,True
0,3,0,0.396347722855489,0,0,7.8958,Third,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
0,3,0,-0.7100537052052971,0,0,7.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,1,1.5878569530747972,1,0,14.5,Third,woman,False,,Southampton,no,False,0.03162619319599083,Middle-Aged,False,True
0,2,0,-0.28451469441268706,0,0,13.0,Second,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,2,0,-0.4547302987297311,0,0,15.0458,Second,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
1,1,1,-0.7951615073638192,0,2,26.2833,First,woman,False,D,Southampton,yes,False,0.6834771751800247,Adult,False,True
0,1,0,0.7367789314895771,1,0,53.1,First,man,True,C,Southampton,no,False,0.03162619319599083,Adult,False,True
0,3,0,-1.0504849138393852,0,0,9.2167,Third,man,True,,Southampton,no,True,-0.620224788788043,Teenager,False,True
0,1,0,-0.3696224965712091,0,0,79.2,First,man,True,B,Cherbourg,no,True,-0.620224788788043,Adult,False,False
0,3,1,-0.02919128793712103,0,2,15.2458,Third,woman,False,,Cherbourg,no,False,0.6834771751800247,Adult,False,False
1,3,1,-0.5398381008882531,0,0,7.75,Third,woman,False,,Southampton,yes,True,-0.620224788788043,Adult,False,True
1,3,1,-0.3696224965712091,1,0,15.85,Third,woman,False,,Southampton,yes,False,0.03162619319599083,Adult,False,True
0,3,0,-0.7951615073638192,0,0,6.75,Third,man,True,,Queenstown,no,True,-0.620224788788043,Adult,True,False
0,2,0,-0.8802693095223412,0,0,11.5,Second,man,True,,Southampton,no,True,-0.620224788788043,Teenager,False,True
0,2,0,-0.7951615073638192,1,1,36.75,Second,man,True,,Southampton,no,False,0.6834771751800247,Adult,False,True
1,3,0,-0.11429909009564304,0,0,7.7958,Third,man,True,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,1,-1.6462395289490392,2,2,34.375,Third,child,False,,Southampton,no,False,1.9871791391480926,Child,False,True
0,2,0,0.694225030410316,0,2,26.0,Second,man,True,F,Southampton,no,False,0.6834771751800247,Adult,False,True
0,2,0,1.1623179422821872,0,0,13.0,Second,man,True,,Southampton,no,True,-0.620224788788043,Middle-Aged,False,True
0,2,0,1.9282881617088852,0,0,12.525,Second,man,True,,Southampton,no,True,-0.620224788788043,Middle-Aged,False,True
1,1,1,-0.5398381008882531,1,0,66.6,First,woman,False,C,Southampton,yes,False,0.03162619319599083,Adult,False,True
0,3,0,2.3112732714222344,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Middle-Aged,False,True
0,3,0,1.034656239044404,0,2,14.5,Third,man,True,,Southampton,no,False,0.6834771751800247,Middle-Aged,False,True
0,3,0,-0.02919128793712103,0,0,7.3125,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,1,0,1.9282881617088852,0,1,61.3792,First,man,True,,Cherbourg,no,False,0.03162619319599083,Middle-Aged,False,False
1,3,1,-1.0504849138393852,0,0,7.7333,Third,woman,False,,Queenstown,yes,True,-0.620224788788043,Teenager,True,False
0,3,0,0.141024316379923,0,0,8.05,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.02919128793712103,0,0,8.6625,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.02919128793712103,8,2,69.55,Third,man,True,,Southampton,no,False,5.898285031052295,Adult,False,True
0,3,0,1.3325335465992312,0,1,16.1,Third,man,True,,Southampton,no,False,0.03162619319599083,Middle-Aged,False,True
1,2,1,0.9921023379651431,0,0,15.75,Second,woman,False,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,3,0,-0.19940689225416505,0,0,7.775,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.9653771116808632,0,0,8.6625,Third,man,True,,Southampton,no,True,-0.620224788788043,Teenager,False,True
0,3,0,-2.3271019462172156,4,1,39.6875,Third,child,False,,Southampton,no,False,2.6390301211321265,Child,False,True
1,3,0,-1.6462395289490392,0,2,20.525,Third,child,False,,Southampton,yes,False,0.6834771751800247,Child,False,True
1,1,1,-0.02919128793712103,0,1,55.0,First,woman,False,E,Southampton,yes,False,0.03162619319599083,Adult,False,True
0,3,1,1.4176413487577533,1,4,27.9,Third,woman,False,,Southampton,no,False,2.6390301211321265,Middle-Aged,False,True
0,1,0,-0.02919128793712103,0,0,25.925,First,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.02919128793712103,0,0,56.4958,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-2.0717785397416493,4,1,29.125,Third,child,False,,Queenstown,no,False,2.6390301211321265,Child,True,False
1,3,1,-2.3271019462172156,1,1,11.1333,Third,child,False,,Southampton,yes,False,0.6834771751800247,Child,False,True
0,1,0,2.353827172501495,0,0,30.6958,First,man,True,A,Cherbourg,no,True,-0.620224788788043,Middle-Aged,False,False
0,3,0,-0.8802693095223412,1,1,7.8542,Third,man,True,,Southampton,no,False,0.6834771751800247,Teenager,False,True
0,3,0,-0.02919128793712103,3,1,25.4667,Third,man,True,,Southampton,no,False,1.9871791391480926,Adult,False,True
0,1,1,1.8431803595503633,0,0,28.7125,First,woman,False,C,Cherbourg,no,True,-0.620224788788043,Middle-Aged,False,False
0,2,0,0.141024316379923,0,0,13.0,Second,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,0.6516711293310551,0,0,0.0,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,1,-0.02919128793712103,8,2,69.55,Third,woman,False,,Southampton,no,False,5.898285031052295,Adult,False,True
0,2,0,-0.02919128793712103,0,0,15.05,Second,man,True,,Cherbourg,no,True,-0.620224788788043,Adult,False,False
0,3,0,-1.6462395289490392,4,2,31.3875,Third,child,False,,Southampton,no,False,3.2908811031161602,Child,False,True
1,2,0,-2.3271019462172156,2,1,39.0,Second,child,False,F,Southampton,yes,False,1.3353281571640587,Child,False,True
1,3,1,-2.0717785397416493,0,2,22.025,Third,child,False,,Southampton,yes,False,0.6834771751800247,Child,False,True
0,1,0,-0.02919128793712103,0,0,50.0,First,man,True,A,Southampton,no,True,-0.620224788788043,Adult,False,True
1,3,1,-0.02919128793712103,1,0,15.5,Third,woman,False,,Queenstown,yes,False,0.03162619319599083,Adult,True,False
1,1,0,1.4176413487577533,0,0,26.55,First,man,True,,Southampton,yes,True,-0.620224788788043,Middle-Aged,False,True
0,3,0,0.9921023379651431,1,1,15.5,Third,man,True,,Queenstown,no,False,0.6834771751800247,Adult,True,False
0,3,0,0.6516711293310551,0,0,7.8958,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,2,1,0.31123992069696704,0,0,13.0,Second,woman,False,,Southampton,yes,True,-0.620224788788043,Adult,False,True
0,2,0,-0.7951615073638192,0,0,13.0,Second,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
1,3,1,-0.7951615073638192,1,0,7.8542,Third,woman,False,,Southampton,yes,False,0.03162619319599083,Adult,False,True
1,2,0,-2.1568863419001714,1,1,26.0,Second,child,False,F,Southampton,yes,False,0.6834771751800247,Child,False,True
1,1,1,1.3325335465992312,0,0,27.7208,First,woman,False,B,Cherbourg,yes,True,-0.620224788788043,Middle-Aged,False,False
0,3,0,1.1623179422821872,0,1,8.4042,Third,man,True,,Southampton,no,False,0.03162619319599083,Middle-Aged,False,True
0,2,1,-0.3696224965712091,0,0,13.0,Second,woman,False,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,-0.02919128793712103,0,0,9.5,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,0.48145552501401107,0,0,6.4958,Third,man,True,,Southampton,no,True,-0.620224788788043,Adult,False,True
0,3,0,1.460195249837014,0,0,7.225,Third,man,True,,Cherbourg,no,True,-0.620224788788043,Middle-Aged,False,False
1,3,0,-0.8802693095223412,0,0,8.05,Third,man,True,,Southampton,yes,True,-0.620224788788043,Teenager,False,True
0,3,1,-2.2419941440586935,0,1,10.4625,Third,child,False,G,Southampton,no,False,0.03162619319599083,Child,False,True
